dataset;model;configuration;seed;test_accuracy;macro_f1;weighted_f1;test_loss;best_validation_accuracy;best_epoch;trainable_parameters;training_time_seconds;inference_time_seconds;inference_time_per_node_ms;degree_0_accuracy;degree_0_count;degree_1_2_accuracy;degree_1_2_count;degree_3_5_accuracy;degree_3_5_count;degree_6_10_accuracy;degree_6_10_count;degree_gt_10_accuracy;degree_gt_10_count;precision_per_class;recall_per_class;checkpoint
synthetic;janossy_gru;inference_permutations_10;46;0,783783793449402;0,783766233766234;0,783807183807184;0,442848443984985;0,759759783744812;12;118018;353,044654346999;2,61785586699989;7,8614290300297;;0;;0;;0;0,783783793449402;333;;0;"{""0"": 0.7724550898203593, ""1"": 0.7951807228915663}";"{""0"": 0.7914110429447853, ""1"": 0.7764705882352941}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_10/seed_46/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_20;42;0,750750780105591;0,750714781777349;0,750777727480802;0,59720379114151;0,780780792236328;3;118018;485,263395095004;5,03459721800027;15,1189105645654;;0;;0;;0;0,750750780105591;333;;0;"{""0"": 0.7409638554216867, ""1"": 0.7604790419161677}";"{""0"": 0.754601226993865, ""1"": 0.7470588235294118}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_20/seed_42/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_20;43;0,804804801940918;0,804776636331659;0,804825931159664;0,398631244897842;0,783783793449402;17;118018;486,669377716004;5,0441520050008;15,147603618621;;0;;0;;0;0,804804801940918;333;;0;"{""0"": 0.7951807228915663, ""1"": 0.8143712574850299}";"{""0"": 0.8098159509202454, ""1"": 0.8}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_20/seed_43/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_20;44;0,795795798301697;0,795793954260154;0,795781063510665;0,526629865169525;0,76576578617096;4;118018;486,426634360003;5,02063319800072;15,0769765705727;;0;;0;;0;0,795795798301697;333;;0;"{""0"": 0.7777777777777778, ""1"": 0.8148148148148148}";"{""0"": 0.8159509202453987, ""1"": 0.7764705882352941}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_20/seed_44/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_20;45;0,750750780105591;0,750173998716477;0,749921669701482;0,49834081530571;0,750750780105591;10;118018;486,079906789004;5,03648032000638;15,1245655255447;;0;;0;;0;0,750750780105591;333;;0;"{""0"": 0.7150537634408602, ""1"": 0.7959183673469388}";"{""0"": 0.8159509202453987, ""1"": 0.6882352941176471}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_20/seed_45/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_20;46;0,786786794662476;0,78677909545926;0,786806015105605;0,440665483474731;0,756756782531738;11;118018;485,194160536004;5,02379987099994;15,0864860990989;;0;;0;;0;0,786786794662476;333;;0;"{""0"": 0.7738095238095238, ""1"": 0.8}";"{""0"": 0.7975460122699386, ""1"": 0.7764705882352941}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_20/seed_46/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_5;42;0,735735714435577;0,735733352571965;0,735750034718363;0,510810554027557;0,771771788597107;8;118018;289,136240121003;1,29655203800212;3,89354966367003;;0;;0;;0;0,735735714435577;333;;0;"{""0"": 0.7218934911242604, ""1"": 0.75}";"{""0"": 0.7484662576687117, ""1"": 0.7235294117647059}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_5/seed_42/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_5;43;0,795795798301697;0,795793954260154;0,795806845009644;0,407576054334641;0,789789795875549;20;118018;289,869409996998;1,29878825000196;3,90026501502091;;0;;0;;0;0,795795798301697;333;;0;"{""0"": 0.7810650887573964, ""1"": 0.8109756097560976}";"{""0"": 0.8098159509202454, ""1"": 0.7823529411764706}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_5/seed_43/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_5;44;0,801801800727844;0,801714182605558;0,801626563409313;0,464727729558945;0,762762784957886;6;118018;288,602592627998;1,2946189380018;3,88774455856398;;0;;0;;0;0,801801800727844;333;;0;"{""0"": 0.7740112994350282, ""1"": 0.8333333333333334}";"{""0"": 0.8404907975460123, ""1"": 0.7647058823529411}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_5/seed_44/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_5;45;0,750750780105591;0,750173998716477;0,749921669701482;0,505494475364685;0,762762784957886;12;118018;289,879138019998;1,29866277800102;3,89988822222528;;0;;0;;0;0,750750780105591;333;;0;"{""0"": 0.7150537634408602, ""1"": 0.7959183673469388}";"{""0"": 0.8159509202453987, ""1"": 0.6882352941176471}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_5/seed_45/janossy_gru_synthetic.pt
